organization	experiment	study	study_title	sci_name	accession	pub_date
Chinese Academy of Tropical Agricultural Sciences	SRX7010804	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10298040	2020-08-10 00:00:50
Frasergen Bioinformatics Inc	SRX7010603	SRP221225	Platinum-grade reference genomes of multiple soybeans reveal structural variations important for domestication and breeding	Glycine soja	SRR10297839	2020-03-31 20:25:27
Frasergen Bioinformatics Inc	SRX7010602	SRP221225	Platinum-grade reference genomes of multiple soybeans reveal structural variations important for domestication and breeding	Glycine max	SRR10297838	2020-03-31 20:25:27
Frasergen Bioinformatics Inc	SRX7010601	SRP221225	Platinum-grade reference genomes of multiple soybeans reveal structural variations important for domestication and breeding	Glycine max	SRR10297837	2020-03-31 20:25:27
Frasergen Bioinformatics Inc	SRX7010600	SRP221225	Platinum-grade reference genomes of multiple soybeans reveal structural variations important for domestication and breeding	Glycine max	SRR10297836	2020-03-31 20:25:27
Frasergen Bioinformatics Inc	SRX7010599	SRP221225	Platinum-grade reference genomes of multiple soybeans reveal structural variations important for domestication and breeding	Glycine max	SRR10297835	2020-03-31 20:25:27
Chinese Academy of Tropical Agricultural Sciences	SRX7010331	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10297503	2020-08-10 00:00:50
Chinese Academy of Tropical Agricultural Sciences	SRX7009446	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10296618	2020-08-10 00:00:50
Chinese Academy of Tropical Agricultural Sciences	SRX7008754	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10295926	2020-08-10 00:00:50
Chinese Academy of Tropical Agricultural Sciences	SRX7003614	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10290626	2020-08-10 00:00:50
Chinese Academy of Tropical Agricultural Sciences	SRX7003279	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10290291	2020-08-10 00:00:50
Chinese Academy of Tropical Agricultural Sciences	SRX7003090	SRP216569	whole genome sequencing of 23 agarwood tree species Raw sequence reads	Aquilaria sinensis	SRR10290102	2020-08-10 00:00:50
Johns Hopkins University	SRX7000504	SRP216764	The Structural Variant Landscape of Tomato	Solanum cheesmaniae	SRR10287512	2020-05-04 14:43:02
Johns Hopkins University	SRX7000503	SRP216764	The Structural Variant Landscape of Tomato	Solanum cheesmaniae	SRR10287513	2020-05-04 14:43:02
Johns Hopkins University	SRX7000502	SRP216764	The Structural Variant Landscape of Tomato	Solanum cheesmaniae	SRR10287514	2020-05-04 14:43:02
Johns Hopkins University	SRX7000501	SRP216764	The Structural Variant Landscape of Tomato	Solanum cheesmaniae	SRR10287515	2020-05-04 14:43:02
University of Calgary	SRX6984378	SRP173139	Gene clustering and copy number variation in alkaloid metabolic pathways of opium poppy	Papaver somniferum	SRR10271167	2019-12-31 00:08:08
Beijing Vegetable Research Center	SRX6983562	SRP225271	Brassica rapa subsp. chinensis Genome sequencing and assembly	Brassica rapa	SRR10270351	2020-11-01 00:02:48
Shandong Academy of Agricultural Science	SRX6983504	SRP225263	Castanea mollissima Genome sequencing and assembly	Castanea mollissima	SRR10270291	2020-08-11 14:22:33
VIB-UGent / Fondazione Mach	SRX6980989	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10267560	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6980988	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10267559	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6980926	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10267477	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6980924	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10267475	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6980824	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10267375	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6979453	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10261590	2020-11-10 00:02:14
VIB-UGent / Fondazione Mach	SRX6978592	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10260720	2020-11-10 00:02:13
VIB-UGent / Fondazione Mach	SRX6978591	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10260719	2020-11-10 00:02:13
VIB-UGent / Fondazione Mach	SRX6978180	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10260308	2020-11-10 00:02:13
McGill University	SRX6961577	SRP224589	The impact of copy number variations in the genomes of 12 potato genomes of varying ploidy	Solanum tuberosum subsp. andigenum	SRR10242927	2020-01-06 00:03:10
McGill University	SRX6961576	SRP224589	The impact of copy number variations in the genomes of 12 potato genomes of varying ploidy	Solanum stenotomum subsp. goniocalyx	SRR10242928	2020-01-06 00:03:10
VIB-UGent / Fondazione Mach	SRX6975606	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10257673	2020-11-09 00:02:35
VIB-UGent / Fondazione Mach	SRX6975595	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10257662	2020-11-09 00:02:35
VIB-UGent / Fondazione Mach	SRX6975309	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10257375	2020-11-09 00:02:35
VIB-UGent / Fondazione Mach	SRX6975283	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10257338	2020-11-09 00:02:35
Australian National University	SRX6967901	SRP173460	Eucalyptus genome project	Eucalyptus viminalis	SRR10249847	2019-10-09 08:21:12
Australian National University	SRX6967900	SRP173460	Eucalyptus genome project	Eucalyptus viminalis	SRR10249848	2019-10-09 08:40:12
Australian National University	SRX6967887	SRP173460	Eucalyptus genome project	Eucalyptus globulus	SRR10249833	2019-10-09 08:30:12
Australian National University	SRX6967886	SRP173460	Eucalyptus genome project	Eucalyptus globulus	SRR10249834	2019-10-09 08:38:47
Australian National University	SRX6967876	SRP173460	Eucalyptus genome project	Corymbia calophylla	SRR10249820	2019-10-09 08:20:14
Australian National University	SRX6967875	SRP173460	Eucalyptus genome project	Corymbia calophylla	SRR10249821	2019-10-09 08:20:14
Australian National University	SRX6967854	SRP173460	Eucalyptus genome project	Angophora floribunda	SRR10249800	2019-10-09 08:20:14
Australian National University	SRX6967853	SRP173460	Eucalyptus genome project	Angophora floribunda	SRR10249801	2019-10-09 08:15:14
Embrapa	SRX6965911	SRP224818	Urochloa ruziziensis genome assembly	Urochloa ruziziensis	SRR10247452	2020-11-07 00:01:47
Johns Hopkins University	SRX6960109	SRP216764	The Structural Variant Landscape of Tomato	Solanum galapagense	SRR10241439	2020-05-04 14:43:01
Johns Hopkins University	SRX6960108	SRP216764	The Structural Variant Landscape of Tomato	Solanum galapagense	SRR10241440	2020-05-04 14:43:01
Johns Hopkins University	SRX6960107	SRP216764	The Structural Variant Landscape of Tomato	Solanum galapagense	SRR10241441	2020-05-04 14:43:01
Johns Hopkins University	SRX6960106	SRP216764	The Structural Variant Landscape of Tomato	Solanum galapagense	SRR10241442	2020-05-04 14:43:01
Johns Hopkins University	SRX6960104	SRP216764	The Structural Variant Landscape of Tomato	Solanum galapagense	SRR10241444	2020-05-04 14:43:01
PacBio	SRX6957825	SRP223310	Human, rice, and Drosophila HiFi datasets from PacBio Sequel II	Oryza sativa Indica Group	SRR10238608	2019-10-07 20:55:14
South China Agricultural University	SRX6952740	SRP224432	Prunus salicina cultivar Sanyueli, whole genome shotgun sequencing project	Prunus salicina	SRR10233501	2020-10-06 03:29:27
South China Agricultural University	SRX6952739	SRP224432	Prunus salicina cultivar Sanyueli, whole genome shotgun sequencing project	Prunus salicina	SRR10233502	2020-10-06 03:29:27
South China Agricultural University	SRX6952738	SRP224432	Prunus salicina cultivar Sanyueli, whole genome shotgun sequencing project	Prunus salicina	SRR10233503	2020-10-06 03:29:27
Pacific Biosciences	SRX6716808	SRP218375	WGS of Oryza sativa Indica MH63 with PacBio Sequel II for de novo assembly	Oryza sativa Indica Group	SRR9969479	2019-08-14 20:53:24
Pacific Biosciences	SRX6716806	SRP218375	WGS of Oryza sativa Indica MH63 with PacBio Sequel II for de novo assembly	Oryza sativa Indica Group	SRR9969481	2019-08-14 20:53:24
Johns Hopkins University	SRX6949687	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230180	2020-05-04 14:43:01
Johns Hopkins University	SRX6949686	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230181	2020-05-04 14:43:01
Johns Hopkins University	SRX6949685	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230182	2020-05-04 14:43:01
Johns Hopkins University	SRX6949684	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230183	2020-05-04 14:43:01
Johns Hopkins University	SRX6949683	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230184	2020-05-04 14:43:01
Johns Hopkins University	SRX6949682	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230185	2020-05-04 14:43:01
Johns Hopkins University	SRX6949681	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230186	2020-05-04 14:43:01
Johns Hopkins University	SRX6949680	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10230187	2020-05-04 14:43:01
Johns Hopkins University	SRX6942211	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10222606	2020-05-04 14:43:01
Johns Hopkins University	SRX6942210	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10222607	2020-05-04 14:43:01
Johns Hopkins University	SRX6942209	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10222608	2020-05-04 14:43:01
Johns Hopkins University	SRX6942208	SRP216764	The Structural Variant Landscape of Tomato	Solanum pimpinellifolium	SRR10222609	2020-05-04 14:43:01
GUANGXI UNIVERSITY	ERX3513960	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492704	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513959	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492703	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513958	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492702	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513957	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492701	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513956	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492700	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513955	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492699	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513954	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492698	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513953	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492697	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513952	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492696	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513951	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492695	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513950	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492694	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513949	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492693	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513948	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492692	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513947	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492691	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513946	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492690	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513945	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492689	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513944	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492688	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513943	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492687	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513942	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492686	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513941	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492685	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513940	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492684	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513939	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492683	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513938	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492682	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513937	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492681	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513936	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492680	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513935	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492679	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513934	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492678	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513933	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492677	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513932	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492676	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513931	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492675	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513930	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492674	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513929	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492673	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513928	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492672	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513927	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492671	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513926	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492670	2019-10-02 09:18:39
GUANGXI UNIVERSITY	ERX3513925	ERP115377	The wheel tree (Trochodendron aralioides) genome	Trochodendron aralioides	ERR3492669	2019-10-02 09:18:39
Johns Hopkins University	SRX6934193	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10214509	2020-05-04 14:43:00
Johns Hopkins University	SRX6934192	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10214510	2020-05-04 14:43:00
Johns Hopkins University	SRX6934191	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10214511	2020-05-04 14:43:00
Johns Hopkins University	SRX6934190	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10214512	2020-05-04 14:43:00
Johns Hopkins University	SRX6934189	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10214513	2020-05-04 14:43:00
Johns Hopkins University	SRX6928074	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10208148	2020-05-04 14:43:00
Johns Hopkins University	SRX6928073	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10208149	2020-05-04 14:43:00
Johns Hopkins University	SRX6928072	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10208150	2020-05-04 14:43:00
Johns Hopkins University	SRX6928071	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10208151	2020-05-04 14:43:00
Johns Hopkins University	SRX6919146	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10199002	2020-05-04 14:43:00
Johns Hopkins University	SRX6919145	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10199003	2020-05-04 14:43:00
Johns Hopkins University	SRX6919144	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10199004	2020-05-04 14:43:00
Johns Hopkins University	SRX6917688	SRP216764	The Structural Variant Landscape of Tomato	Solanum lycopersicum	SRR10197546	2020-05-04 14:43:00
VIB-UGent / Fondazione Mach	SRX6915121	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10194896	2020-10-27 00:00:17
VIB-UGent / Fondazione Mach	SRX6914998	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10194772	2020-10-27 00:00:16
VIB-UGent / Fondazione Mach	SRX6914882	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10194628	2020-10-27 00:00:16
J. Craig Venter Institute	SRX6914782	SRP223498	Medicago truncatula genome sequencing and assembly using long reads	Medicago truncatula	SRR10194526	2020-10-01 00:02:53
J. Craig Venter Institute	SRX6914781	SRP223498	Medicago truncatula genome sequencing and assembly using long reads	Medicago truncatula	SRR10194527	2020-10-01 00:02:53
J. Craig Venter Institute	SRX6914780	SRP223498	Medicago truncatula genome sequencing and assembly using long reads	Medicago truncatula	SRR10194528	2020-10-01 00:02:53
VIB-UGent / Fondazione Mach	SRX6911413	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10190991	2020-10-26 00:00:52
VIB-UGent / Fondazione Mach	SRX6911378	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10190956	2020-10-26 00:00:52
VIB-UGent / Fondazione Mach	SRX6911253	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10190831	2020-10-26 00:00:52
VIB-UGent / Fondazione Mach	SRX6911242	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10190820	2020-10-26 00:00:52
Boyce Thompson Institute	SRX6911080	SRP223413	Anthoceros punctatus genome and transcriptome sequencing	Anthoceros punctatus	SRR10190656	2020-09-29 08:53:19
Boyce Thompson Institute	SRX6911079	SRP223413	Anthoceros punctatus genome and transcriptome sequencing	Anthoceros punctatus	SRR10190657	2020-09-29 08:53:19
Boyce Thompson Institute	SRX6911078	SRP223413	Anthoceros punctatus genome and transcriptome sequencing	Anthoceros punctatus	SRR10190658	2020-09-29 08:53:19
Boyce Thompson Institute	SRX6911062	SRP223411	Anthoceros agrestis Oxford genome and transcriptome sequencing	Anthoceros agrestis	SRR10190639	2020-09-29 08:54:16
Boyce Thompson Institute	SRX6911061	SRP223411	Anthoceros agrestis Oxford genome and transcriptome sequencing	Anthoceros agrestis	SRR10190640	2020-09-29 08:54:16
PacBio	SRX6908794	SRP223310	Human, rice, and Drosophila HiFi datasets from PacBio Sequel II	Oryza sativa Indica Group	SRR10188372	2019-09-27 00:47:22
Pacific Biosciences	SRX6716809	SRP218375	WGS of Oryza sativa Indica MH63 with PacBio Sequel II for de novo assembly	Oryza sativa Indica Group	SRR9969478	2019-08-14 20:53:24
Pacific Biosciences	SRX6716807	SRP218375	WGS of Oryza sativa Indica MH63 with PacBio Sequel II for de novo assembly	Oryza sativa Indica Group	SRR9969480	2019-08-14 20:53:24
Henan Normal University	SRX6898380	SRP223137	Asparagus setaceus cultivar:Pyramidalis Genome sequencing and assembly	Asparagus setaceus	SRR10176977	2020-06-26 14:51:37
VIB-UGent / Fondazione Mach	SRX6889270	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10163881	2020-10-23 00:03:40
Zhengzhou Fruit Research Institution	SRX6871526	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143592	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871525	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143593	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871524	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143594	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871523	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143595	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871522	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143596	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871521	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143597	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871520	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143598	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871519	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143599	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871517	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143601	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871516	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143602	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871515	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143603	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871514	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143604	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871513	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143605	2020-10-15 00:56:00
Zhengzhou Fruit Research Institution	SRX6871512	SRP222493	Pyrus x bretschneideri cultivar:Hongxiangsu Genome sequencing and assembly	Pyrus x bretschneideri	SRR10143606	2020-10-15 00:56:00
VIB-UGent / Fondazione Mach	SRX6865320	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10137239	2020-10-18 00:58:35
VIB-UGent / Fondazione Mach	SRX6864827	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10136742	2020-10-18 00:58:35
VIB-UGent / Fondazione Mach	SRX6864707	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10136622	2020-10-18 00:58:35
VIB-UGent / Fondazione Mach	SRX6863810	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10135713	2020-10-18 00:58:35
KAZUSA	DRX178214	DRP005444	The Ficus erecta genome	Ficus erecta	DRR187743	2019-09-17 15:05:02
VIB-UGent / Fondazione Mach	SRX6859594	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10131199	2020-10-17 00:01:41
VIB-UGent / Fondazione Mach	SRX6859277	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10130882	2020-10-17 00:01:41
VIB-UGent / Fondazione Mach	SRX6858549	SRP219097	Pyrus communis cultivar:Bartlett Genome sequencing	Pyrus communis	SRR10130136	2020-10-16 00:00:39
University of Pisa	SRX6856159	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127734	2019-12-13 11:43:57
University of Pisa	SRX6856158	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127735	2019-12-13 11:43:57
University of Pisa	SRX6856157	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127736	2019-12-13 11:43:57
University of Pisa	SRX6856156	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127737	2019-12-13 11:43:57
University of Pisa	SRX6856155	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127738	2019-12-13 11:43:57
University of Pisa	SRX6856154	SRP221885	PacBio sequencing of Ficus carica L. genome	Ficus carica	SRR10127739	2019-12-13 11:43:57
Sichuan Agricultural University	SRX6850544	SRP221665	Chromosome-scale assembly of an elite indica-japonica intermediate type restorer line, R600, based on PacBio, Illumina and Hi-C sequencing	Oryza sativa	SRR10121034	2019-09-15 10:58:12
The John Innes Centre	ERX2842753	ERP111120	Cloning of the PVY resistance gene derived from S. stoloniferum.	Solanum stoloniferum	ERR2835901	2019-09-14 14:23:00
jiangsu academy of agricultural sciences	SRX6829463	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097436	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829462	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097437	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829461	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097438	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829460	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097439	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829457	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097442	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829446	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097453	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829435	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097464	2020-08-12 12:14:19
jiangsu academy of agricultural sciences	SRX6829424	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097475	2020-08-12 12:14:20
jiangsu academy of agricultural sciences	SRX6829423	SRP221196	Acer truncatum Genome sequencing and assembly	Acer truncatum	SRR10097476	2020-08-12 12:14:20
